survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args
cbsnyt198909,,United States,,,,1989,,,weight,roper,cbsnyt,USCBSNYT1989-SEP2,,,,"list(file = file_path, var_names = c(""q15"", ""q16"", ""q19a"", ""q19b"", ""q19c"", ""q19e"", ""q19g"", ""weight""), var_cards = c(1, 1, 1, 1, 1, 1, 1, 3), var_positions = c(54, 55, 58, 59, 60, 62, 64, 49), var_widths = c(1, 1, 1, 1, 1, 1, 1, 6), total_cards = 3)"
cbsnyt199302,,United States,,,,1993,,,weight,roper,cbsnyt,USCBSNYT1993-FEB93A,,,,"list(file = file_path, var_names = c(""q45"", ""q46"", ""weight""), var_cards = c(2, 2, 3), var_positions = c(9, 10, 49), var_widths = c(1, 1, 6), total_cards = 3)"
cbsnyt199801,,United States,,,,1998,,,weight,roper,cbsnyt,USCBSNYT1998-98001A,,,,
cces2009,,United States,,,,2009,,,v200,dataverse,cces,cces2009,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/20536,,
cces2012,,United States,,,,2012,,,v103,dataverse,cces,cces2012,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=hdl:1902.1/21447,,
cces2014,,United States,,,,2014,,,weight,dataverse,cces,cces2014,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XFXJVY,,
cces2015,,United States,,,,2015,,,weight,dataverse,cces,cces2015,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SWMWX8,,
cces2016,,United States,,,,2016,,,commonweight,dataverse,cces,cces2016,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GDF6Z0,,
cces2017,,United States,,,,2017,,,weights_common,dataverse,cces,cces2017,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3STEZY,,
cces2018,,United States,,,,2018,,,,dataverse,cces,cces2018,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSBZ7K,,
cces2019,,United States,,,,2019,,,commonweight,dataverse,cces,cces2019,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WOT7O8,,
cceb2002,,country,,,,2002,,,weight1,gesis,cceb,ZA3979,,,,
cceb2003_5,,country,,,,2003,,,weight1,gesis,cceb,ZA3983,,,,
cceb2003_11,,country,,,,2003,,,weight1,gesis,cceb,ZA3986,,,,
cceb2004,,country,,,,2004,,,weight1,gesis,cceb,ZA4246,,,,
cdcee,,v3,,,"c(""East Germany""=""Germany"", ""West Germany""=""Germany"")",,v666,,wt <- t_data$v633; wt[!is.na(t_data$v634)] <- t_data$v634[!is.na(t_data$v634)]; wt[!is.na(t_data$v636)] <- t_data$v636[!is.na(t_data$v636)]; wt[!is.na(t_data$v637)] <- t_data$v637[!is.na(t_data$v637)]; wt[!is.na(t_data$v638)] <- t_data$v638[!is.na(t_data$v638)]; wt[!is.na(t_data$v639)] <- t_data$v639[!is.na(t_data$v639)]; wt[!is.na(t_data$v640)] <- t_data$v640[!is.na(t_data$v640)]; wt[is.na(wt)] <- 1,gesis,cdcee,ZA4054,,,,
chcep199012,,Chile,,,,1990,,,weight,roper,chcep,CHCEP1990-151,,,,"list(file = file_path, var_names = c(""p21"", ""weight""),  var_positions = c(121, 175), var_widths = c(1, 9))"
chcep199109,,Chile,,,,1991,,,pond,roper,chcep,CHCEP1991-1022,,,,
chcep199909,,Chile,,,,1999,,,weight,roper,chcep,CHCEP1999-1011,,,,"list(file = file_path, var_names = c(""p40"", ""weight""),  var_positions = c(232, 352), var_widths = c(1, 8))"
chcep200604,,Chile,,,,2006,,,factor_m2,roper,chcep,CHCEP2006-0531,,,,
chcep200803,,Chile,,,,2008,,,pond,roper,chcep,CHCEP2008-0416,,,,
chcep200806,,Chile,,,,2008,,,fcorrecc,roper,chcep,CHCEP2008-0626,,,,
chcep201810,,Chile,,,,2018,,,ponderad,roper,chcep,31115706,,,,
cnn199301,,United States,,,,1993,,,weight,roper,cnn,USYANK1993-85202,,,,
cnn199406,,United States,,,,1994,,,weight,roper,cnn,USYANK1994-94011,,,,
cnn199810,,United States,,,,1998,,,weight,roper,cnn,USYANK1998-98014,,,,
cnn200001,,United States,,,,2000,,,wtfctr,roper,cnn,USAIPOCNUS2000-02,,,,
cnn200306,,United States,,,,2003,,,wtfctr,roper,cnn,USAIPOCNUS2003-35,,,,
cnn200309,,United States,,,,2003,,,weight,roper,cnn,USHARRISINT2003-09,,,,
cnn200310,,United States,,,,2003,,,wtfctr,roper,cnn,USAIPOCNUS2003-47,National_Adult_Sample,,,
cnn200312,,United States,,,,2003,,,wtfctr,roper,cnn,USAIPOCNUS2003-55,,,,
cnn200402,,United States,,,,2004,,,wtfctr,roper,cnn,USAIPOCNUS2004-10,,,,
cnn200403,,United States,,,,2004,,,wtfctr,roper,cnn,USAIPOCNUS2004-11,,,,
cnn200405,,United States,,,,2004,,,weight,roper,cnn,usharrisint2004-05,,,,"list(file = file_path, var_names = c(""q34"", ""weight""), var_cards = c(2, 3), var_positions = c(18, 60), var_widths = c(1, 6), total_cards = 3)"
cnn200407,,United States,,,,2004,,,wtfctr,roper,cnn,USAIPOCNUS2004-24,,,,
cnn200503,,United States,,,,2005,,,wtfctr,roper,cnn,USAIPOCNUS2005-14,,,,
cnn200505,,United States,,,,2005,,,wtfctr,roper,cnn,USAIPOCNUS2005-21,,,,
cnn200705,,United States,,,,2007,,,weight,roper,cnn,USORCCNN2007-006,,,,
cnn200708,,United States,,,,2007,,,weight,roper,cnn,USORCCNN2007-008,,,,
cnn200710,,United States,,,,2007,,,weight2,roper,cnn,USORCCNN2007-010,,,,
cnn200806,,United States,,,,2008,,,weight,roper,cnn,USORCCNN2008-008,,,,
cnn200812,,United States,,,,2008,,,weight,roper,cnn,USORCCNN2008-023,,,,
cnn200905,,United States,,,,2009,,,weight,roper,cnn,USORCCNN2009-007,,,,
cnn201105,,United States,,,,2011,,,weight,roper,cnn,USORCCNN2011-006,,,,
cnn201109,,United States,,,,2011,,,weight,roper,cnn,USORCCNN2011-015,,,,
cnn201205,,United States,,,,2012,,,weight,roper,cnn,USORCCNN2012-005,,,,
cnn201303,,United States,,,,2013,,,weight,roper,cnn,USORCCNN2013-003,,,,
cnn201306,,United States,,,,2013,,,weight,roper,cnn,USORCCNN2013-007,,,,
cnn201412,,United States,,,,2014,,,weight,roper,cnn,USORCCNN2014-012,,,,
cnn201606,,United States,,,,2016,,,weight,roper,cnn,USORCCNN2016-006,,,,
cses1,,a1006_nam,,,,,a1028,,a1012_1,gesis,cses,ZA5179,,,,
cses2,,b1006_nam,,,,,b1028,,b1012_1,gesis,cses,ZA5180,,,,
cses3,,c1006_nam,,,,,c1028,,c1012_1,gesis,cses,ZA5181,,,,
cses4,,d1006_nam,,,,,d1028,,d1012_1,gesis,cses,ZA5182,,,,
cses5,,e1006_nam,,,,,e1034,,e1012_1,gesis,cses,ZA7557,,,,
cses_combo,,study_id,,"tibble(orig = c(""ALB_2005"", ""AUS_1996"", ""AUS_2004"", ""AUS_2007"", ""AUT_2008"", ""BEL_2003"", ""BELF1999"", ""BELW1999"", ""BGR_2001"", ""BLR_2001"", ""BLR_2008"", ""BRA_2002"", ""BRA_2006"", ""BRA_2010"", ""CAN_1997"", ""CAN_2004"", ""CAN_2008"", ""CHE_1999"", ""CHE_2003"", ""CHE_2007"", ""CHL_1999"", ""CHL_2005"", ""CHL_2009"", ""CZE_1996"", ""CZE_2002"", ""CZE_2006"", ""CZE_2010"", ""DEU_1998"", ""DEU_2005"", ""DEU_2009"", ""DEU12002"", ""DNK_1998"", ""DNK_2001"", ""DNK_2007"", ""ESP_1996"", ""ESP_2000"", ""ESP_2004"", ""ESP_2008"", ""EST_2011"", ""FIN_2003"", ""FIN_2007"", ""FIN_2011"", ""FRA_2002"", ""FRA_2007"", ""GBR_1997"", ""GBR_2005"", ""GRC_2009"", ""HKG_1998"", ""HKG_2000"", ""HKG_2004"", ""HKG_2008"", ""HRV_2007"", ""HUN_1998"", ""HUN_2002"", ""IRL_2002"", ""IRL_2007"", ""ISL_1999"", ""ISL_2003"", ""ISL_2007"", ""ISL_2009"", ""ISR_1996"", ""ISR_2003"", ""ISR_2006"", ""ITA_2006"", ""JPN_1996"", ""JPN_2004"", ""JPN_2007"", ""KGZ_2005"", ""KOR_2000"", ""KOR_2004"", ""KOR_2008"", ""LTU_1997"", ""LVA_2010"", ""MEX_1997"", ""MEX_2000"", ""MEX_2003"", ""MEX_2006"", ""MEX_2009"", ""NLD_1998"", ""NLD_2002"", ""NLD_2006"", ""NLD_2010"", ""NOR_1997"", ""NOR_2001"", ""NOR_2005"", ""NOR_2009"", ""NZL_1996"", ""NZL_2002"", ""NZL_2008"", ""PER_2000"", ""PER_2001"", ""PER_2006"", ""PER_2011"", ""PHL_2004"", ""PHL_2010"", ""POL_1997"", ""POL_2001"", ""POL_2005"", ""POL_2007"", ""PRT_2002"", ""PRT_2005"", ""PRT_2009"", ""ROU_1996"", ""ROU_2004"", ""ROU_2009"", ""RUS_1999"", ""RUS_2000"", ""RUS_2004"", ""SVK_2010"", ""SVN_1996"", ""SVN_2004"", ""SVN_2008"", ""SWE_1998"", ""SWE_2002"", ""SWE_2006"", ""THA_2001"", ""THA_2007"", ""TUR_2011"", ""TWN_1996"", ""TWN_2001"", ""TWN_2004"", ""TWN_2008"", ""UKR_1998"", ""URY_2009"", ""USA_1996"", ""USA_2004"", ""USA_2008"", ""ZAF_2009""), dest = c(""Albania"", ""Australia"", ""Australia"", ""Australia"", ""Austria"", ""Belgium"", ""Belgium"", ""Belgium"", ""Bulgaria"", ""Belarus"", ""Belarus"", ""Brazil"", ""Brazil"", ""Brazil"", ""Canada"", ""Canada"", ""Canada"", ""Switzerland"", ""Switzerland"", ""Switzerland"", ""Chile"", ""Chile"", ""Chile"", ""Czechia"", ""Czechia"", ""Czechia"", ""Czechia"", ""Germany"", ""Germany"", ""Germany"", ""Germany"", ""Denmark"", ""Denmark"", ""Denmark"", ""Spain"", ""Spain"", ""Spain"", ""Spain"", ""Estonia"", ""Finland"", ""Finland"", ""Finland"", ""France"", ""France"", ""United Kingdom"", ""United Kingdom"", ""Greece"", ""Hong Kong SAR China"", ""Hong Kong SAR China"", ""Hong Kong SAR China"", ""Hong Kong SAR China"", ""Croatia"", ""Hungary"", ""Hungary"", ""Ireland"", ""Ireland"", ""Iceland"", ""Iceland"", ""Iceland"", ""Iceland"", ""Israel"", ""Israel"", ""Israel"", ""Italy"", ""Japan"", ""Japan"", ""Japan"", ""Kyrgyzstan"", ""South Korea"", ""South Korea"", ""South Korea"", ""Lithuania"", ""Latvia"", ""Mexico"", ""Mexico"", ""Mexico"", ""Mexico"", ""Mexico"", ""Netherlands"", ""Netherlands"", ""Netherlands"", ""Netherlands"", ""Norway"", ""Norway"", ""Norway"", ""Norway"", ""New Zealand"", ""New Zealand"", ""New Zealand"", ""Peru"", ""Peru"", ""Peru"", ""Peru"", ""Philippines"", ""Philippines"", ""Poland"", ""Poland"", ""Poland"", ""Poland"", ""Portugal"", ""Portugal"", ""Portugal"", ""Romania"", ""Romania"", ""Romania"", ""Russia"", ""Russia"", ""Russia"", ""Slovakia"", ""Slovenia"", ""Slovenia"", ""Slovenia"", ""Sweden"", ""Sweden"", ""Sweden"", ""Thailand"", ""Thailand"", ""Turkey"", ""Taiwan"", ""Taiwan"", ""Taiwan"", ""Taiwan"", ""Ukraine"", ""Uruguay"", ""United States"", ""United States"", ""United States"", ""South Africa""))   ",,,,"tibble(orig = c(""ALB_2005"", ""AUS_1996"", ""AUS_2004"", ""AUS_2007"", ""AUT_2008"", ""BEL_2003"", ""BELF1999"", ""BELW1999"", ""BGR_2001"", ""BLR_2001"", ""BLR_2008"", ""BRA_2002"", ""BRA_2006"", ""BRA_2010"", ""CAN_1997"", ""CAN_2004"", ""CAN_2008"", ""CHE_1999"", ""CHE_2003"", ""CHE_2007"", ""CHL_1999"", ""CHL_2005"", ""CHL_2009"", ""CZE_1996"", ""CZE_2002"", ""CZE_2006"", ""CZE_2010"", ""DEU_1998"", ""DEU_2005"", ""DEU_2009"", ""DEU12002"", ""DNK_1998"", ""DNK_2001"", ""DNK_2007"", ""ESP_1996"", ""ESP_2000"", ""ESP_2004"", ""ESP_2008"", ""EST_2011"", ""FIN_2003"", ""FIN_2007"", ""FIN_2011"", ""FRA_2002"", ""FRA_2007"", ""GBR_1997"", ""GBR_2005"", ""GRC_2009"", ""HKG_1998"", ""HKG_2000"", ""HKG_2004"", ""HKG_2008"", ""HRV_2007"", ""HUN_1998"", ""HUN_2002"", ""IRL_2002"", ""IRL_2007"", ""ISL_1999"", ""ISL_2003"", ""ISL_2007"", ""ISL_2009"", ""ISR_1996"", ""ISR_2003"", ""ISR_2006"", ""ITA_2006"", ""JPN_1996"", ""JPN_2004"", ""JPN_2007"", ""KGZ_2005"", ""KOR_2000"", ""KOR_2004"", ""KOR_2008"", ""LTU_1997"", ""LVA_2010"", ""MEX_1997"", ""MEX_2000"", ""MEX_2003"", ""MEX_2006"", ""MEX_2009"", ""NLD_1998"", ""NLD_2002"", ""NLD_2006"", ""NLD_2010"", ""NOR_1997"", ""NOR_2001"", ""NOR_2005"", ""NOR_2009"", ""NZL_1996"", ""NZL_2002"", ""NZL_2008"", ""PER_2000"", ""PER_2001"", ""PER_2006"", ""PER_2011"", ""PHL_2004"", ""PHL_2010"", ""POL_1997"", ""POL_2001"", ""POL_2005"", ""POL_2007"", ""PRT_2002"", ""PRT_2005"", ""PRT_2009"", ""ROU_1996"", ""ROU_2004"", ""ROU_2009"", ""RUS_1999"", ""RUS_2000"", ""RUS_2004"", ""SVK_2010"", ""SVN_1996"", ""SVN_2004"", ""SVN_2008"", ""SWE_1998"", ""SWE_2002"", ""SWE_2006"", ""THA_2001"", ""THA_2007"", ""TUR_2011"", ""TWN_1996"", ""TWN_2001"", ""TWN_2004"", ""TWN_2008"", ""UKR_1998"", ""URY_2009"", ""USA_1996"", ""USA_2004"", ""USA_2008"", ""ZAF_2009""), year = c(2005, 1996, 2004, 2007, 2009, 2004, 1999, 1999, 2001, 2001, 2009, 2002, 2006, 2010, 1997, 2004, 2008, 1999, 2003, 2007, 2000, 2006, 2010, 1996, 2002, 2006, 2010, 1998, 2005, 2009, 2002, 1998, 2001, 2008, 1996, 2000, 2004, 2008, 2011, 2003, 2007, 2011, 2002, 2007, 1997, 2005, 2009, 1998, 2000, 2004, 2008, 2008, 1998, 2002, 2002, 2007, 1999, 2003, 2007, 2009, 1996, 2003, 2006, 2006, 1996, 2004, 2007, 2006, 2000, 2004, 2008, 1998, 2010, 1997, 2000, 2003, 2006, 2009, 1998, 2002, 2006, 2010, 1997, 2001, 2005, 2009, 1996, 2002, 2008, 2000, 2001, 2006, 2011, 2004, 2010, 1997, 2001, 2005, 2007, 2002, 2005, 2009, 1996, 2004, 2009, 1999, 2000, 2004, 2010, 1997, 2005, 2009, 1998, 2002, 2006, 2001, 2007, 2011, 1996, 2002, 2004, 2008, 1998, 2010, 1996, 2004, 2008, 2009))",wt <- t_data$a1012_1; wt[!is.na(t_data$b1012_1)] <- t_data$b1012_1[!is.na(t_data$b1012_1)]; wt[!is.na(t_data$c1012_1)] <- t_data$c1012_1[!is.na(t_data$c1012_1)],gesis,cses,ZA6297,,,,
de_rcs2009,,Germany,,,,2009,,,,gesis,rcs,ZA6969,,,,
dkes1971,,Denmark,,,,1971,,,,misc,dkcssr,dkes1971,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1971&file=/nesstar/temp/download3728460921677844345.tmp/ElectionStudy-1971.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1973,,Denmark,,,,1973,,,,misc,dkcssr,dkes1973,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1973&file=/nesstar/temp/download8343303892344738382.tmp/ElectionStudy-1973.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1975,,Denmark,,,,1975,,,,misc,dkcssr,dkes1975,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1975&file=/nesstar/temp/download2786018609733727139.tmp/ElectionStudy-1975.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1977,,Denmark,,,,1977,,,,misc,dkcssr,dkes1977,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1977&file=/nesstar/temp/download188175613907961342.tmp/ElectionStudy-1977.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1979,,Denmark,,,,1979,,,,misc,dkcssr,dkes1979,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1979&file=/nesstar/temp/download9036957443603059422.tmp/ElectionStudy-1979.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1981,,Denmark,,,,1981,,,,misc,dkcssr,dkes1981,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1981&file=/nesstar/temp/download8359821183351566278.tmp/ElectionStudy-1981.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1984,,Denmark,,,,1984,,,,misc,dkcssr,dkes1984,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1984&file=/nesstar/temp/download6417525559370203771.tmp/ElectionStudy-1984.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1987,,Denmark,,,,1987,,,,misc,dkcssr,dkes1987,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1987&file=/nesstar/temp/download3963390644129913784.tmp/ElectionStudy-1987.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1990,,Denmark,,,,1990,,,,misc,dkcssr,dkes1990,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1990&file=/nesstar/temp/download3541187684512700318.tmp/ElectionStudy-1990.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1994,,Denmark,,,,1994,,,,misc,dkcssr,dkes1994,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1994&file=/nesstar/temp/download4396211267462066452.tmp/ElectionStudy-1994.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes1998,,Denmark,,,,1998,,,,misc,dkcssr,dkes1998,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-1998&file=/nesstar/temp/download6714341711769347569.tmp/ElectionStudy-1998.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes2001,,Denmark,,,,2001,,,,misc,dkcssr,dkes2001,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-2001&file=/nesstar/temp/download8774093279396633505.tmp/ElectionStudy-2001.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes2005,,Denmark,,,,2005,,,,misc,dkcssr,dkes2005,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/Electionstudy-2005&file=/nesstar/temp/download3542169859384986790.tmp/Electionstudy-2005.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes2007,,Denmark,,,,2007,,,,misc,dkcssr,dkes2007,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-2007&file=/nesstar/temp/download4897844773925322266.tmp/ElectionStudy-2007.zip&server=http://cssr.surveybank.aau.dk:80,,
dkes2011,,Denmark,,,,2011,,,,misc,dkcssr,dkes2011,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/ElectionStudy-2011&file=/nesstar/temp/download6927678728671535041.tmp/ElectionStudy-2011.zip&server=http://cssr.surveybank.aau.dk:80,,
dksfpo1999,,Denmark,,,,1999,,,,misc,dkcssr,formpubop,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/Surveysabouttheformationofpublicopinion1999-2003&file=/nesstar/temp/download6112582944255120458.tmp/Surveysabouttheformationofpublicopinion1999-2003.zip&server=http://cssr.surveybank.aau.dk:80,,
dksfpo2000,,Denmark,,,,2000,,,,misc,dkcssr,formpubop,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/Surveysabouttheformationofpublicopinion1999-2003&file=/nesstar/temp/download6112582944255120458.tmp/Surveysabouttheformationofpublicopinion1999-2003.zip&server=http://cssr.surveybank.aau.dk:80,,
dksfpo2001,,Denmark,,,,2001,,,,misc,dkcssr,formpubop,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/Surveysabouttheformationofpublicopinion1999-2003&file=/nesstar/temp/download6112582944255120458.tmp/Surveysabouttheformationofpublicopinion1999-2003.zip&server=http://cssr.surveybank.aau.dk:80,,
dksfpo2002,,Denmark,,,,2002,,,,misc,dkcssr,formpubop,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/Surveysabouttheformationofpublicopinion1999-2003&file=/nesstar/temp/download6112582944255120458.tmp/Surveysabouttheformationofpublicopinion1999-2003.zip&server=http://cssr.surveybank.aau.dk:80,,
dksfpo2003,,Denmark,,,,2003,,,,misc,dkcssr,formpubop,,http://cssr.surveybank.aau.dk/webview/pdf?&mode=ddiToPDF&executepdf=true&study=http://172.18.36.233:80/obj/fStudy/Surveysabouttheformationofpublicopinion1999-2003&file=/nesstar/temp/download6112582944255120458.tmp/Surveysabouttheformationofpublicopinion1999-2003.zip&server=http://cssr.surveybank.aau.dk:80,,
eass_w1,,v2,,,,,v1,,weight,icpsr,eass,ICPSR_34608,,,,
eass_w2,,v2,,,,,v1,,weight,icpsr,eass,ICPSR_36277,,,,
eb05,,v4,,,,1975,,,,gesis,eb,ZA0989,,,,
eb06,,v4,,,,1976,,,,gesis,eb,ZA0990,,,,
eb10,,v8,,,"c(""NORTHERN IRELAND""=""United Kingdom"")",1978,,,"wt <- t_data$v6; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v7[grep(""GB\\-"", t_data$isocntry)]",gesis,eb,ZA0994,,,,
eb11,,v8,,,"c(""NORTHERN IRELAND""=""United Kingdom"")",1979,,,"wt <- t_data$v6; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v7[grep(""GB\\-"", t_data$isocntry)]",gesis,eb,ZA1036,,,,
eb16,,v5,,,"c(""NORTHERN IRELAND""=""United Kingdom"")",1981,,,"wt <- t_data$v6; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v8[grep(""GB\\-"", t_data$isocntry)]",gesis,eb,ZA1207,,,,
eb19,,v5,,,,1983,,,v6,gesis,eb,ZA1318,,,,
eb20,,v5,,,,1983,,,v6,gesis,eb,ZA1319,,,,
eb21,,v5,,,,1984,,,v6,gesis,eb,ZA1320,,,,
eb24,,v5,,,,1985,,,v6,gesis,eb,ZA1542,,,,
eb25,,v5,,,,1986,,,v6,gesis,eb,ZA1543,,,,
eb28,,v5,,,,1987,,,v6,gesis,eb,ZA1713,,,,
eb30,,v5,,,,1988,,,v6,gesis,eb,ZA1715,,,,
eb36,,v6,,,"c(""WEST GERMANY""=""Germany"", ""EAST GERMANY""=""Germany"")",1991,,,"wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA2081,,,,
eb37,,v5,,,"c(""WEST GERMANY""=""Germany"", ""EAST GERMANY""=""Germany"")",1992,,,"wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA2141,,,,
eb38,,v5,,,"c(""NORTHERN IRELAND""=""United Kingdom"", ""WEST GERMANY""=""Germany"", ""EAST GERMANY""=""Germany"")",1992,,,"wt <- t_data$v9; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v6[grep(""GB\\-"", t_data$isocntry)]; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA2294,,,,
eb39,,v10,,,"c(""NORTHERN IRELAND""=""United Kingdom"")",1993,,,"wt <- t_data$v9; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]; wt[grep(""GB\\-"", t_data$isocntry)] <- t_data$v7[grep(""GB\\-"", t_data$isocntry)]; wt[grep(""NO"", t_data$isocntry)] <- 1; wt[grep(""FI"", t_data$isocntry)] <- 1",gesis,eb,ZA2346,,,,
eb411,,v5,,,"c(""WEST GERMANY""=""Germany"", ""EAST GERMANY""=""Germany"")",1994,,,"wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",gesis,eb,ZA2491,,,,
eb441,,v5,,,"c(""WEST GERMANY""=""Germany"", ""EAST GERMANY""=""Germany"")",1995,,,"wt <- t_data$v6; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v11[grep(""DE\\-"", t_data$isocntry)]",gesis,eb,ZA2690,,,,
eb443,,v6,,,"c(""WEST GERMANY""=""Germany"", ""EAST GERMANY""=""Germany"")",1996,,,"wt <- t_data$v7; wt[grep(""DE\\-"", t_data$isocntry)] <- t_data$v12[grep(""DE\\-"", t_data$isocntry)]",gesis,eb,ZA2830,,,,
eb471,,v13,,,,1997,,,v14,gesis,eb,ZA2936,,,,
eb48,,v13,,,,1997,,,"wt <- t_data$v14; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA2959,,,,
eb501,,v13,,,,1998,,,"wt <- t_data$v14; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA3086,,,,
eb51,,v13,,,,1999,,,"wt <- t_data$v14; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA3171,,,,
eb521,,v13,,,,1999,,,"wt <- t_data$v14; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA3205,,,,
eb53,,v13,,,,2000,,,"wt <- t_data$v14; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA3296,,,,
eb541,,v13,,,,2000,,,"wt <- t_data$v14; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA3387,,,,
eb551,,v12,,,,2001,,,"wt <- t_data$v13; wt[grep(""NO"", t_data$isocntry)] <- 1",gesis,eb,ZA3507,,,,
